prev_3,prev_2,prev_1,original_key,mode,beat_position,target_chord
"[57, 64, 72, 81]","[57, 64, 72, 81]","[57, 64, 72, 81]",D,minor,3,"[57, 64, 72, 81]"
"[57, 64, 72, 81]","[57, 64, 72, 81]","[57, 64, 72, 81]",D,minor,4,"[57, 72, 76, 76]"
"[57, 64, 72, 81]","[57, 64, 72, 81]","[57, 72, 76, 76]",D,minor,5,"[57, 72, 76, 76]"
"[57, 64, 72, 81]","[57, 72, 76, 76]","[57, 72, 76, 76]",D,minor,6,"[55, 71, 76, 76]"
"[57, 72, 76, 76]","[57, 72, 76, 76]","[55, 71, 76, 76]",D,minor,7,"[55, 71, 76, 76]"
"[57, 72, 76, 76]","[55, 71, 76, 76]","[55, 71, 76, 76]",D,minor,8,"[54, 69, 76, 81]"
"[55, 71, 76, 76]","[55, 71, 76, 76]","[54, 69, 76, 81]",D,minor,9,"[54, 69, 76, 81]"
"[55, 71, 76, 76]","[54, 69, 76, 81]","[54, 69, 76, 81]",D,minor,10,"[54, 67, 76, 81]"
"[54, 69, 76, 81]","[54, 69, 76, 81]","[54, 67, 76, 81]",D,minor,11,"[54, 67, 76, 81]"
"[54, 69, 76, 81]","[54, 67, 76, 81]","[54, 67, 76, 81]",D,minor,12,"[54, 66, 75, 81]"
"[54, 67, 76, 81]","[54, 67, 76, 81]","[54, 66, 75, 81]",D,minor,13,"[54, 66, 75, 81]"
"[54, 67, 76, 81]","[54, 66, 75, 81]","[54, 66, 75, 81]",D,minor,14,"[52, 66, 76, 81]"
"[54, 66, 75, 81]","[54, 66, 75, 81]","[52, 66, 76, 81]",D,minor,15,"[52, 66, 76, 81]"
"[54, 66, 75, 81]","[52, 66, 76, 81]","[52, 66, 76, 81]",D,minor,0,"[51, 66, 78, 83]"
"[52, 66, 76, 81]","[52, 66, 76, 81]","[51, 66, 78, 83]",D,minor,1,"[51, 66, 78, 83]"
