prev_3,prev_2,prev_1,original_key,mode,beat_position,target_chord
"[57, 60, 64, 69]","[57, 60, 64, 69]","[55, 60, 64, 69]",F#,minor,3,"[55, 60, 64, 69]"
"[57, 60, 64, 69]","[55, 60, 64, 69]","[55, 60, 64, 69]",F#,minor,4,"[53, 60, 65, 69]"
"[55, 60, 64, 69]","[55, 60, 64, 69]","[53, 60, 65, 69]",F#,minor,5,"[53, 60, 65, 69]"
"[55, 60, 64, 69]","[53, 60, 65, 69]","[53, 60, 65, 69]",F#,minor,6,"[53, 60, 65, 69]"
"[53, 60, 65, 69]","[53, 60, 65, 69]","[53, 60, 65, 69]",F#,minor,7,"[53, 60, 65, 69]"
"[53, 60, 65, 69]","[53, 60, 65, 69]","[53, 60, 65, 69]",F#,minor,8,"[52, 60, 65, 69]"
"[53, 60, 65, 69]","[53, 60, 65, 69]","[52, 60, 65, 69]",F#,minor,9,"[52, 60, 65, 69]"
"[53, 60, 65, 69]","[52, 60, 65, 69]","[52, 60, 65, 69]",F#,minor,10,"[50, 60, 65, 69]"
"[52, 60, 65, 69]","[52, 60, 65, 69]","[50, 60, 65, 69]",F#,minor,11,"[50, 60, 65, 69]"
"[52, 60, 65, 69]","[50, 60, 65, 69]","[50, 60, 65, 69]",F#,minor,12,"[52, 59, 64, 68]"
"[50, 60, 65, 69]","[50, 60, 65, 69]","[52, 59, 64, 68]",F#,minor,13,"[52, 59, 64, 68]"
"[50, 60, 65, 69]","[52, 59, 64, 68]","[52, 59, 64, 68]",F#,minor,14,"[52, 62, 64, 68]"
"[52, 59, 64, 68]","[52, 59, 64, 68]","[52, 62, 64, 68]",F#,minor,15,"[52, 62, 64, 68]"
"[52, 59, 64, 68]","[52, 62, 64, 68]","[52, 62, 64, 68]",F#,minor,0,"[54, 60, 64, 69]"
"[52, 62, 64, 68]","[52, 62, 64, 68]","[54, 60, 64, 69]",F#,minor,1,"[54, 60, 64, 69]"
"[52, 62, 64, 68]","[54, 60, 64, 69]","[54, 60, 64, 69]",F#,minor,2,"[56, 59, 64, 71]"
"[54, 60, 64, 69]","[54, 60, 64, 69]","[56, 59, 64, 71]",F#,minor,3,"[56, 59, 64, 71]"
"[54, 60, 64, 69]","[56, 59, 64, 71]","[56, 59, 64, 71]",F#,minor,4,"[57, 57, 64, 72]"
"[56, 59, 64, 71]","[56, 59, 64, 71]","[57, 57, 64, 72]",F#,minor,5,"[57, 57, 64, 72]"
"[56, 59, 64, 71]","[57, 57, 64, 72]","[57, 57, 64, 72]",F#,minor,6,"[50, 57, 69, 72]"
"[57, 57, 64, 72]","[57, 57, 64, 72]","[50, 57, 69, 72]",F#,minor,7,"[50, 57, 69, 72]"
"[57, 57, 64, 72]","[50, 57, 69, 72]","[50, 57, 69, 72]",F#,minor,8,"[52, 64, 69, 71]"
"[50, 57, 69, 72]","[50, 57, 69, 72]","[52, 64, 69, 71]",F#,minor,9,"[52, 64, 69, 71]"
"[50, 57, 69, 72]","[52, 64, 69, 71]","[52, 64, 69, 71]",F#,minor,10,"[52, 62, 68, 71]"
"[52, 64, 69, 71]","[52, 64, 69, 71]","[52, 62, 68, 71]",F#,minor,11,"[52, 62, 68, 71]"
"[52, 64, 69, 71]","[52, 62, 68, 71]","[52, 62, 68, 71]",F#,minor,12,"[57, 60, 64, 69]"
"[52, 62, 68, 71]","[52, 62, 68, 71]","[57, 60, 64, 69]",F#,minor,13,"[57, 60, 64, 69]"
"[52, 62, 68, 71]","[57, 60, 64, 69]","[57, 60, 64, 69]",F#,minor,14,"[57, 60, 64, 69]"
"[57, 60, 64, 69]","[57, 60, 64, 69]","[57, 60, 64, 69]",F#,minor,15,"[57, 60, 64, 69]"
"[57, 60, 64, 69]","[57, 60, 64, 69]","[57, 60, 64, 69]",F#,minor,0,"[57, 64, 69, 72]"
"[57, 60, 64, 69]","[57, 60, 64, 69]","[57, 64, 69, 72]",F#,minor,1,"[57, 64, 69, 72]"
"[57, 60, 64, 69]","[57, 64, 69, 72]","[57, 64, 69, 72]",F#,minor,2,"[57, 64, 69, 72]"
"[57, 64, 69, 72]","[57, 64, 69, 72]","[57, 64, 69, 72]",F#,minor,3,"[57, 64, 69, 72]"
"[57, 64, 69, 72]","[57, 64, 69, 72]","[57, 64, 69, 72]",F#,minor,4,"[59, 62, 67, 74]"
"[57, 64, 69, 72]","[57, 64, 69, 72]","[59, 62, 67, 74]",F#,minor,5,"[59, 62, 67, 74]"
"[57, 64, 69, 72]","[59, 62, 67, 74]","[59, 62, 67, 74]",F#,minor,6,"[59, 62, 69, 74]"
"[59, 62, 67, 74]","[59, 62, 67, 74]","[59, 62, 69, 74]",F#,minor,7,"[59, 62, 69, 74]"
"[59, 62, 67, 74]","[59, 62, 69, 74]","[59, 62, 69, 74]",F#,minor,8,"[57, 67, 71, 74]"
"[59, 62, 69, 74]","[59, 62, 69, 74]","[57, 67, 71, 74]",F#,minor,9,"[57, 67, 71, 74]"
"[59, 62, 69, 74]","[57, 67, 71, 74]","[57, 67, 71, 74]",F#,minor,10,"[55, 67, 71, 74]"
"[57, 67, 71, 74]","[57, 67, 71, 74]","[55, 67, 71, 74]",F#,minor,11,"[55, 67, 71, 74]"
"[57, 67, 71, 74]","[55, 67, 71, 74]","[55, 67, 71, 74]",F#,minor,12,"[60, 67, 72, 76]"
"[55, 67, 71, 74]","[55, 67, 71, 74]","[60, 67, 72, 76]",F#,minor,13,"[60, 67, 72, 76]"
"[55, 67, 71, 74]","[60, 67, 72, 76]","[60, 67, 72, 76]",F#,minor,14,"[59, 67, 72, 74]"
"[60, 67, 72, 76]","[60, 67, 72, 76]","[59, 67, 72, 74]",F#,minor,15,"[59, 67, 72, 74]"
"[60, 67, 72, 76]","[59, 67, 72, 74]","[59, 67, 72, 74]",F#,minor,0,"[57, 67, 72, 72]"
"[59, 67, 72, 74]","[59, 67, 72, 74]","[57, 67, 72, 72]",F#,minor,1,"[57, 67, 72, 72]"
"[59, 67, 72, 74]","[57, 67, 72, 72]","[57, 67, 72, 72]",F#,minor,2,"[55, 65, 72, 72]"
"[57, 67, 72, 72]","[57, 67, 72, 72]","[55, 65, 72, 72]",F#,minor,3,"[55, 64, 72, 72]"
"[57, 67, 72, 72]","[55, 65, 72, 72]","[55, 64, 72, 72]",F#,minor,4,"[53, 62, 72, 74]"
"[55, 65, 72, 72]","[55, 64, 72, 72]","[53, 62, 72, 74]",F#,minor,5,"[53, 62, 72, 74]"
"[55, 64, 72, 72]","[53, 62, 72, 74]","[53, 62, 72, 74]",F#,minor,6,"[53, 62, 71, 74]"
"[53, 62, 72, 74]","[53, 62, 72, 74]","[53, 62, 71, 74]",F#,minor,7,"[53, 62, 69, 74]"
"[53, 62, 72, 74]","[53, 62, 71, 74]","[53, 62, 69, 74]",F#,minor,8,"[55, 67, 71, 74]"
"[53, 62, 71, 74]","[53, 62, 69, 74]","[55, 67, 71, 74]",F#,minor,9,"[55, 67, 71, 74]"
"[53, 62, 69, 74]","[55, 67, 71, 74]","[55, 67, 71, 74]",F#,minor,10,"[55, 67, 71, 74]"
"[55, 67, 71, 74]","[55, 67, 71, 74]","[55, 67, 71, 74]",F#,minor,11,"[55, 67, 71, 74]"
