prev_3,prev_2,prev_1,original_key,mode,beat_position,target_chord
"[45, 69, 72, 76]","[45, 69, 72, 76]","[45, 69, 72, 76]",E,minor,3,"[45, 69, 72, 76]"
"[45, 69, 72, 76]","[45, 69, 72, 76]","[45, 69, 72, 76]",E,minor,4,"[57, 69, 72, 76]"
"[45, 69, 72, 76]","[45, 69, 72, 76]","[57, 69, 72, 76]",E,minor,5,"[57, 69, 72, 76]"
"[45, 69, 72, 76]","[57, 69, 72, 76]","[57, 69, 72, 76]",E,minor,6,"[57, 69, 72, 76]"
"[57, 69, 72, 76]","[57, 69, 72, 76]","[57, 69, 72, 76]",E,minor,7,"[57, 69, 72, 76]"
"[57, 69, 72, 76]","[57, 69, 72, 76]","[57, 69, 72, 76]",E,minor,8,"[57, 62, 71, 77]"
"[57, 69, 72, 76]","[57, 69, 72, 76]","[57, 62, 71, 77]",E,minor,9,"[57, 62, 71, 77]"
"[57, 69, 72, 76]","[57, 62, 71, 77]","[57, 62, 71, 77]",E,minor,10,"[56, 62, 71, 77]"
"[57, 62, 71, 77]","[57, 62, 71, 77]","[56, 62, 71, 77]",E,minor,11,"[56, 62, 71, 77]"
"[57, 62, 71, 77]","[56, 62, 71, 77]","[56, 62, 71, 77]",E,minor,12,"[57, 60, 72, 76]"
"[56, 62, 71, 77]","[56, 62, 71, 77]","[57, 60, 72, 76]",E,minor,13,"[57, 60, 72, 76]"
"[56, 62, 71, 77]","[57, 60, 72, 76]","[57, 60, 72, 76]",E,minor,14,"[60, 60, 71, 76]"
"[57, 60, 72, 76]","[57, 60, 72, 76]","[60, 60, 71, 76]",E,minor,15,"[60, 60, 71, 76]"
"[57, 60, 72, 76]","[60, 60, 71, 76]","[60, 60, 71, 76]",E,minor,0,"[53, 60, 69, 76]"
"[60, 60, 71, 76]","[60, 60, 71, 76]","[53, 60, 69, 76]",E,minor,1,"[53, 60, 69, 76]"
"[60, 60, 71, 76]","[53, 60, 69, 76]","[53, 60, 69, 76]",E,minor,2,"[53, 60, 68, 76]"
"[53, 60, 69, 76]","[53, 60, 69, 76]","[53, 60, 68, 76]",E,minor,3,"[53, 60, 68, 76]"
"[53, 60, 69, 76]","[53, 60, 68, 76]","[53, 60, 68, 76]",E,minor,4,"[53, 59, 69, 74]"
