prev_3,prev_2,prev_1,original_key,mode,beat_position,target_chord
"[48, 48, 52, 55]","[48, 48, 52, 55]","[48, 48, 52, 55]",B-,major,3,"[48, 48, 52, 55]"
"[48, 48, 52, 55]","[48, 48, 52, 55]","[48, 48, 52, 55]",B-,major,4,"[40, 48, 55, 60]"
"[48, 48, 52, 55]","[48, 48, 52, 55]","[40, 48, 55, 60]",B-,major,5,"[40, 48, 55, 60]"
"[48, 48, 52, 55]","[40, 48, 55, 60]","[40, 48, 55, 60]",B-,major,6,"[40, 48, 55, 60]"
"[40, 48, 55, 60]","[40, 48, 55, 60]","[40, 48, 55, 60]",B-,major,7,"[40, 48, 55, 60]"
"[40, 48, 55, 60]","[40, 48, 55, 60]","[40, 48, 55, 60]",B-,major,8,"[38, 55, 60, 64]"
"[40, 48, 55, 60]","[40, 48, 55, 60]","[38, 55, 60, 64]",B-,major,9,"[38, 55, 60, 64]"
"[40, 48, 55, 60]","[38, 55, 60, 64]","[38, 55, 60, 64]",B-,major,10,"[38, 53, 59, 62]"
"[38, 55, 60, 64]","[38, 55, 60, 64]","[38, 53, 59, 62]",B-,major,11,"[38, 53, 59, 62]"
"[38, 55, 60, 64]","[38, 53, 59, 62]","[38, 53, 59, 62]",B-,major,12,"[36, 55, 60, 64]"
"[38, 53, 59, 62]","[38, 53, 59, 62]","[36, 55, 60, 64]",B-,major,13,"[36, 55, 60, 64]"
"[38, 53, 59, 62]","[36, 55, 60, 64]","[36, 55, 60, 64]",B-,major,14,"[36, 55, 60, 60]"
"[36, 55, 60, 64]","[36, 55, 60, 64]","[36, 55, 60, 60]",B-,major,15,"[36, 55, 60, 60]"
"[36, 55, 60, 64]","[36, 55, 60, 60]","[36, 55, 60, 60]",B-,major,0,"[41, 53, 60, 69]"
"[36, 55, 60, 60]","[36, 55, 60, 60]","[41, 53, 60, 69]",B-,major,1,"[41, 53, 60, 69]"
"[36, 55, 60, 60]","[41, 53, 60, 69]","[41, 53, 60, 69]",B-,major,2,"[41, 53, 60, 69]"
"[41, 53, 60, 69]","[41, 53, 60, 69]","[41, 53, 60, 69]",B-,major,3,"[41, 53, 60, 69]"
"[41, 53, 60, 69]","[41, 53, 60, 69]","[41, 53, 60, 69]",B-,major,4,"[45, 48, 57, 65]"
"[41, 53, 60, 69]","[41, 53, 60, 69]","[45, 48, 57, 65]",B-,major,5,"[45, 48, 57, 65]"
"[41, 53, 60, 69]","[45, 48, 57, 65]","[45, 48, 57, 65]",B-,major,6,"[43, 47, 57, 65]"
"[45, 48, 57, 65]","[45, 48, 57, 65]","[43, 47, 57, 65]",B-,major,7,"[43, 47, 57, 65]"
"[45, 48, 57, 65]","[43, 47, 57, 65]","[43, 47, 57, 65]",B-,major,8,"[45, 48, 57, 65]"
"[43, 47, 57, 65]","[43, 47, 57, 65]","[45, 48, 57, 65]",B-,major,9,"[45, 48, 57, 65]"
"[43, 47, 57, 65]","[45, 48, 57, 65]","[45, 48, 57, 65]",B-,major,10,"[41, 50, 57, 65]"
"[45, 48, 57, 65]","[45, 48, 57, 65]","[41, 50, 57, 65]",B-,major,11,"[41, 50, 57, 65]"
"[45, 48, 57, 65]","[41, 50, 57, 65]","[41, 50, 57, 65]",B-,major,12,"[48, 52, 55, 67]"
"[41, 50, 57, 65]","[41, 50, 57, 65]","[48, 52, 55, 67]",B-,major,13,"[48, 52, 55, 67]"
