prev_3,prev_2,prev_1,original_key,mode,beat_position,target_chord
"[50, 62, 66, 69]","[50, 62, 66, 69]","[50, 62, 66, 71]",F,minor,3,"[50, 62, 66, 71]"
"[50, 62, 66, 69]","[50, 62, 66, 71]","[50, 62, 66, 71]",F,minor,4,"[57, 60, 64, 72]"
"[50, 62, 66, 71]","[50, 62, 66, 71]","[57, 60, 64, 72]",F,minor,5,"[57, 60, 64, 72]"
"[50, 62, 66, 71]","[57, 60, 64, 72]","[57, 60, 64, 72]",F,minor,6,"[57, 60, 66, 72]"
"[57, 60, 64, 72]","[57, 60, 64, 72]","[57, 60, 66, 72]",F,minor,7,"[57, 60, 66, 72]"
"[57, 60, 64, 72]","[57, 60, 66, 72]","[57, 60, 66, 72]",F,minor,8,"[55, 59, 67, 74]"
"[57, 60, 66, 72]","[57, 60, 66, 72]","[55, 59, 67, 74]",F,minor,9,"[55, 59, 67, 74]"
"[57, 60, 66, 72]","[55, 59, 67, 74]","[55, 59, 67, 74]",F,minor,10,"[55, 59, 67, 74]"
"[55, 59, 67, 74]","[55, 59, 67, 74]","[55, 59, 67, 74]",F,minor,11,"[55, 59, 67, 74]"
"[55, 59, 67, 74]","[55, 59, 67, 74]","[55, 59, 67, 74]",F,minor,12,"[60, 60, 67, 76]"
"[55, 59, 67, 74]","[55, 59, 67, 74]","[60, 60, 67, 76]",F,minor,13,"[60, 60, 67, 76]"
"[55, 59, 67, 74]","[60, 60, 67, 76]","[60, 60, 67, 76]",F,minor,14,"[60, 60, 69, 76]"
"[60, 60, 67, 76]","[60, 60, 67, 76]","[60, 60, 69, 76]",F,minor,15,"[60, 60, 69, 76]"
"[60, 60, 67, 76]","[60, 60, 69, 76]","[60, 60, 69, 76]",F,minor,0,"[59, 67, 71, 74]"
"[60, 60, 69, 76]","[60, 60, 69, 76]","[59, 67, 71, 74]",F,minor,1,"[59, 67, 71, 74]"
