prev_3,prev_2,prev_1,original_key,mode,beat_position,target_chord
"[48, 52, 55, 60]","[48, 52, 55, 60]","[48, 52, 55, 60]",F,major,3,"[48, 52, 55, 60]"
"[48, 52, 55, 60]","[48, 52, 55, 60]","[48, 52, 55, 60]",F,major,4,"[47, 50, 55, 67]"
"[48, 52, 55, 60]","[48, 52, 55, 60]","[47, 50, 55, 67]",F,major,5,"[47, 50, 55, 67]"
"[48, 52, 55, 60]","[47, 50, 55, 67]","[47, 50, 55, 67]",F,major,6,"[47, 50, 55, 67]"
"[47, 50, 55, 67]","[47, 50, 55, 67]","[47, 50, 55, 67]",F,major,7,"[47, 50, 55, 67]"
"[47, 50, 55, 67]","[47, 50, 55, 67]","[47, 50, 55, 67]",F,major,8,"[48, 52, 55, 64]"
"[47, 50, 55, 67]","[47, 50, 55, 67]","[48, 52, 55, 64]",F,major,9,"[48, 52, 55, 64]"
"[47, 50, 55, 67]","[48, 52, 55, 64]","[48, 52, 55, 64]",F,major,10,"[48, 52, 55, 64]"
"[48, 52, 55, 64]","[48, 52, 55, 64]","[48, 52, 55, 64]",F,major,11,"[48, 52, 55, 64]"
"[48, 52, 55, 64]","[48, 52, 55, 64]","[48, 52, 55, 64]",F,major,12,"[45, 52, 57, 60]"
"[48, 52, 55, 64]","[48, 52, 55, 64]","[45, 52, 57, 60]",F,major,13,"[45, 52, 57, 60]"
"[48, 52, 55, 64]","[45, 52, 57, 60]","[45, 52, 57, 60]",F,major,14,"[45, 52, 57, 60]"
"[45, 52, 57, 60]","[45, 52, 57, 60]","[45, 52, 57, 60]",F,major,15,"[45, 52, 57, 60]"
"[45, 52, 57, 60]","[45, 52, 57, 60]","[45, 52, 57, 60]",F,major,0,"[40, 52, 60, 67]"
"[45, 52, 57, 60]","[45, 52, 57, 60]","[40, 52, 60, 67]",F,major,1,"[40, 52, 60, 67]"
"[45, 52, 57, 60]","[40, 52, 60, 67]","[40, 52, 60, 67]",F,major,2,"[40, 52, 60, 67]"
"[40, 52, 60, 67]","[40, 52, 60, 67]","[40, 52, 60, 67]",F,major,3,"[40, 52, 60, 67]"
"[40, 52, 60, 67]","[40, 52, 60, 67]","[40, 52, 60, 67]",F,major,4,"[41, 48, 65, 69]"
"[40, 52, 60, 67]","[40, 52, 60, 67]","[41, 48, 65, 69]",F,major,5,"[41, 48, 65, 69]"
"[40, 52, 60, 67]","[41, 48, 65, 69]","[41, 48, 65, 69]",F,major,6,"[43, 48, 65, 69]"
"[41, 48, 65, 69]","[41, 48, 65, 69]","[43, 48, 65, 69]",F,major,7,"[43, 48, 65, 69]"
"[41, 48, 65, 69]","[43, 48, 65, 69]","[43, 48, 65, 69]",F,major,8,"[45, 60, 65, 69]"
"[43, 48, 65, 69]","[43, 48, 65, 69]","[45, 60, 65, 69]",F,major,9,"[45, 60, 65, 69]"
"[43, 48, 65, 69]","[45, 60, 65, 69]","[45, 60, 65, 69]",F,major,10,"[47, 60, 65, 69]"
"[45, 60, 65, 69]","[45, 60, 65, 69]","[47, 60, 65, 69]",F,major,11,"[47, 60, 65, 69]"
"[45, 60, 65, 69]","[47, 60, 65, 69]","[47, 60, 65, 69]",F,major,12,"[48, 60, 64, 67]"
"[47, 60, 65, 69]","[47, 60, 65, 69]","[48, 60, 64, 67]",F,major,13,"[48, 60, 64, 67]"
"[47, 60, 65, 69]","[48, 60, 64, 67]","[48, 60, 64, 67]",F,major,14,"[48, 60, 64, 67]"
"[48, 60, 64, 67]","[48, 60, 64, 67]","[48, 60, 64, 67]",F,major,15,"[48, 60, 64, 67]"
"[48, 60, 64, 67]","[48, 60, 64, 67]","[48, 60, 64, 67]",F,major,0,"[48, 60, 64, 67]"
"[48, 60, 64, 67]","[48, 60, 64, 67]","[48, 60, 64, 67]",F,major,1,"[48, 60, 64, 67]"
"[48, 60, 64, 67]","[48, 60, 64, 67]","[48, 60, 64, 67]",F,major,2,"[48, 60, 64, 67]"
"[48, 60, 64, 67]","[48, 60, 64, 67]","[48, 60, 64, 67]",F,major,3,"[48, 60, 64, 67]"
"[48, 60, 64, 67]","[48, 60, 64, 67]","[48, 60, 64, 67]",F,major,4,"[53, 60, 65, 69]"
"[48, 60, 64, 67]","[48, 60, 64, 67]","[53, 60, 65, 69]",F,major,5,"[53, 60, 65, 69]"
"[48, 60, 64, 67]","[53, 60, 65, 69]","[53, 60, 65, 69]",F,major,6,"[53, 60, 65, 69]"
"[53, 60, 65, 69]","[53, 60, 65, 69]","[53, 60, 65, 69]",F,major,7,"[53, 60, 65, 69]"
"[53, 60, 65, 69]","[53, 60, 65, 69]","[53, 60, 65, 69]",F,major,8,"[52, 62, 65, 71]"
