prev_3,prev_2,prev_1,original_key,mode,beat_position,target_chord
"[48, 60, 64, 67]","[48, 60, 64, 67]","[48, 60, 64, 67]",D,major,3,"[48, 60, 64, 67]"
"[48, 60, 64, 67]","[48, 60, 64, 67]","[48, 60, 64, 67]",D,major,4,"[48, 55, 60, 65]"
"[48, 60, 64, 67]","[48, 60, 64, 67]","[48, 55, 60, 65]",D,major,5,"[48, 55, 60, 65]"
"[48, 60, 64, 67]","[48, 55, 60, 65]","[48, 55, 60, 65]",D,major,6,"[48, 55, 60, 64]"
"[48, 55, 60, 65]","[48, 55, 60, 65]","[48, 55, 60, 64]",D,major,7,"[48, 55, 60, 64]"
"[48, 55, 60, 65]","[48, 55, 60, 64]","[48, 55, 60, 64]",D,major,8,"[53, 57, 60, 69]"
"[48, 55, 60, 64]","[48, 55, 60, 64]","[53, 57, 60, 69]",D,major,9,"[53, 57, 60, 69]"
"[48, 55, 60, 64]","[53, 57, 60, 69]","[53, 57, 60, 69]",D,major,10,"[52, 57, 60, 69]"
"[53, 57, 60, 69]","[53, 57, 60, 69]","[52, 57, 60, 69]",D,major,11,"[52, 57, 60, 69]"
"[53, 57, 60, 69]","[52, 57, 60, 69]","[52, 57, 60, 69]",D,major,12,"[50, 62, 65, 69]"
"[52, 57, 60, 69]","[52, 57, 60, 69]","[50, 62, 65, 69]",D,major,13,"[50, 62, 65, 69]"
"[52, 57, 60, 69]","[50, 62, 65, 69]","[50, 62, 65, 69]",D,major,14,"[50, 60, 64, 69]"
"[50, 62, 65, 69]","[50, 62, 65, 69]","[50, 60, 64, 69]",D,major,15,"[50, 60, 64, 69]"
"[50, 62, 65, 69]","[50, 60, 64, 69]","[50, 60, 64, 69]",D,major,0,"[55, 59, 62, 71]"
"[50, 60, 64, 69]","[50, 60, 64, 69]","[55, 59, 62, 71]",D,major,1,"[55, 59, 62, 71]"
"[50, 60, 64, 69]","[55, 59, 62, 71]","[55, 59, 62, 71]",D,major,2,"[53, 57, 62, 71]"
"[55, 59, 62, 71]","[55, 59, 62, 71]","[53, 57, 62, 71]",D,major,3,"[53, 57, 62, 71]"
"[55, 59, 62, 71]","[53, 57, 62, 71]","[53, 57, 62, 71]",D,major,4,"[52, 55, 67, 71]"
"[53, 57, 62, 71]","[53, 57, 62, 71]","[52, 55, 67, 71]",D,major,5,"[52, 55, 67, 71]"
"[53, 57, 62, 71]","[52, 55, 67, 71]","[52, 55, 67, 71]",D,major,6,"[50, 55, 65, 71]"
"[52, 55, 67, 71]","[52, 55, 67, 71]","[50, 55, 65, 71]",D,major,7,"[50, 55, 65, 71]"
"[52, 55, 67, 71]","[50, 55, 65, 71]","[50, 55, 65, 71]",D,major,8,"[48, 55, 64, 72]"
"[50, 55, 65, 71]","[50, 55, 65, 71]","[48, 55, 64, 72]",D,major,9,"[48, 55, 64, 72]"
"[50, 55, 65, 71]","[48, 55, 64, 72]","[48, 55, 64, 72]",D,major,10,"[48, 55, 64, 72]"
